length,energy
1.4,-151.43821529826837
1.397,-151.453193898135
1.394,-151.4681484635026
1.391,-151.48307865939
1.388,-151.4979846269332
1.385,-151.5128660599283
1.382,-151.52772307423035
1.379,-151.54255561712858
1.376,-151.55736356710995
1.373,-151.5721469671799
1.3699999999999999,-151.58690583799302
1.367,-151.6016402135321
1.3639999999999999,-151.61635013716233
1.361,-151.63103569996593
1.3579999999999999,-151.64569698960747
1.355,-151.66033402634648
1.3519999999999999,-151.67494720828893
1.349,-151.689536472075
1.3459999999999999,-151.7041020887605
1.343,-151.71864427277285
1.3399999999999999,-151.73316321370572
1.337,-151.7476593204798
1.3339999999999999,-151.7621327907544
1.331,-151.7765838290365
1.3279999999999998,-151.79101300508648
1.325,-151.80542063218257
1.3219999999999998,-151.81980710826286
1.319,-187.44062569321684
1.3159999999999998,-187.44294574869468
1.313,-187.44523571776915
1.3099999999999998,-187.44750542752797
1.307,-187.44975375966922
1.3039999999999998,-187.45198001707143
1.301,-187.45418362155215
1.2979999999999998,-187.45636365544317
1.295,-187.4585193473905
1.2919999999999998,-187.4606500803804
1.289,-187.46275489039124
1.2859999999999998,-187.4648329688571
1.283,-187.46688348715594
1.2799999999999998,-187.46890577665158
1.277,-187.47089881146172
1.274,-187.47286172987327
1.271,-187.47479365294936
1.2679999999999998,-187.47669368516523
1.265,-187.4785609146138
1.262,-187.48039441286727
1.259,-187.4821933885139
1.2559999999999998,-187.4839565946607
1.253,-187.48568334423175
1.25,-187.48737236472726
1.2469999999999999,-187.48902294268743
1.244,-187.49063390657207
1.2409999999999999,-187.49220422208523
1.238,-187.49373283709724
1.2349999999999999,-187.4952185470533
1.232,-187.49666053693835
1.2289999999999999,-187.49805756151522
1.226,-187.49940863170218
1.2229999999999999,-187.50071234096035
1.22,-187.50196766074572
1.2169999999999999,-187.50317341124116
1.214,-187.5043283930726
1.2109999999999999,-187.5054313871985
1.208,-187.5064812880807
1.2049999999999998,-187.50747651988877
1.202,-187.50841618395285
1.1989999999999998,-187.50929866669208
1.196,-187.5101227653107
1.1929999999999998,-187.51088727565178
1.19,-187.5115905799963
1.1869999999999998,-187.51223153191987
1.184,-187.51280849851034
1.1809999999999998,-187.513320263318
1.178,-187.51376516634014
1.1749999999999998,-187.51414192900046
1.172,-187.51444885426898
1.1689999999999998,-187.5146846075552
1.166,-187.51484744595808
1.1629999999999998,-187.51493598426097
1.16,-187.51494842511408
1.157,-187.5148833378879
1.154,-187.5147388618376
1.1509999999999998,-187.51451352679783
1.148,-187.5142055022575
1.145,-187.5138129746514
1.142,-187.51333435456795
1.1389999999999998,-187.51276765557998
1.136,-187.51211125599428
1.133,-187.51136311924347
1.13,-187.51052150200888
1.1269999999999998,-187.50958441115796
1.1239999999999999,-187.50854981242972
1.121,-187.5074159177985
1.1179999999999999,-187.50618060501077
1.1149999999999998,-187.50484182817337
1.1119999999999999,-187.50339743130579
1.109,-187.5018454667283
1.1059999999999999,-187.50018368961597
1.103,-187.49840991449284
