length,energy
1.23,-187.60333201706453
1.227,-187.6052365050893
1.224,-187.60709286060816
1.221,-187.6088998916578
1.218,-187.61065651773492
1.215,-187.6123612588229
1.212,-187.61401298548736
1.209,-187.61561042657155
1.206,-187.61715242128415
1.203,-187.61863741638615
1.2,-187.6200641917448
1.197,-187.62143152388182
1.194,-187.6227377980712
1.191,-187.62398184245393
1.188,-187.62516202619614
1.185,-187.62627699844182
1.182,-187.6273254302791
1.179,-187.62830558380085
1.176,-187.62921618949358
1.173,-187.630055467155
1.17,-187.63082209553045
1.167,-187.63151435024153
1.164,-187.63213053912455
1.161,-187.63266920819905
1.158,-187.63312849616455
1.155,-187.633506909639
1.152,-187.63380251290525
1.149,-187.63401378103524
1.146,-187.63413880753478
1.143,-187.63417569641763
1.14,-187.6341228119686
1.137,-187.6339781715313
1.134,-187.63373979184612
1.131,-187.6334059348803
1.128,-187.6329745297483
1.125,-187.6324434962057
1.1219999999999999,-187.6318110004381
1.119,-187.63107487195657
1.1159999999999999,-187.63023301663148
1.113,-187.62928323134565
1.1099999999999999,-187.62822351439263
1.107,-187.62705157206184
1.104,-187.62576508217887
1.101,-187.62436195708142
1.0979999999999999,-187.62283977830305
1.095,-187.62119619495363
1.092,-187.61942881665007
1.089,-187.61753514572098
1.0859999999999999,-187.6155128583868
1.083,-187.61335935902994
